"Marker Name","Description","In","Out","Duration","Marker Type","Marker Color"
,,"1.16666666666667","1.16666666666667","0","Comment","Green"
,,"2.6","2.6","0","Comment","Green"
,,"3.7","3.7","0","Comment","Green"
,,"5.13333333333333","5.13333333333333","0","Comment","Green"
,,"6.8","6.8","0","Comment","Green"
,,"8.23333333333333","8.23333333333333","0","Comment","Green"
,,"9.26666666666667","9.26666666666667","0","Comment","Green"
,,"10.7666666666667","10.7666666666667","0","Comment","Green"
,,"13.6666666666667","13.6666666666667","0","Comment","Green"
,,"15.5333333333333","15.5333333333333","0","Comment","Green"
,,"16.7333333333333","16.7333333333333","0","Comment","Green"
,,"17.8","17.8","0","Comment","Green"
,,"18.7333333333333","18.7333333333333","0","Comment","Green"
,,"19.6333333333333","19.6333333333333","0","Comment","Green"
,,"20.5666666666667","20.5666666666667","0","Comment","Green"
,,"22.5333333333333","22.5333333333333","0","Comment","Green"
,,"23.5","23.5","0","Comment","Green"
,,"25.6666666666667","25.6666666666667","0","Comment","Green"
,,"26.8","26.8","0","Comment","Green"
,,"28.0666666666667","28.0666666666667","0","Comment","Green"
,,"29.2","29.2","0","Comment","Green"
,,"30.2","30.2","0","Comment","Green"
,,"31.2666666666667","31.2666666666667","0","Comment","Green"
,,"32.2","32.2","0","Comment","Green"
,,"33.0333333333333","33.0333333333333","0","Comment","Green"
,,"33.9","33.9","0","Comment","Green"
,,"35.4333333333333","35.4333333333333","0","Comment","Green"
,,"36.3666666666667","36.3666666666667","0","Comment","Green"
,,"37.3","37.3","0","Comment","Green"
,,"39.5666666666667","39.5666666666667","0","Comment","Green"
,,"41.0666666666667","41.0666666666667","0","Comment","Green"
,,"42.2","42.2","0","Comment","Green"
,,"43.8","43.8","0","Comment","Green"
,,"45.2666666666667","45.2666666666667","0","Comment","Green"
,,"46.8","46.8","0","Comment","Green"
,,"47.7","47.7","0","Comment","Green"
,,"48.4333333333333","48.4333333333333","0","Comment","Green"
,,"49.9","49.9","0","Comment","Green"
,,"50.4666666666667","50.4666666666667","0","Comment","Green"
,,"50.9666666666667","50.9666666666667","0","Comment","Green"
,,"51.5","51.5","0","Comment","Green"
,,"52.1666666666667","52.1666666666667","0","Comment","Green"
,,"52.7666666666667","52.7666666666667","0","Comment","Green"
,,"53.5666666666667","53.5666666666667","0","Comment","Green"
,,"54.0666666666667","54.0666666666667","0","Comment","Green"
,,"54.8333333333333","54.8333333333333","0","Comment","Green"
,,"55.6","55.6","0","Comment","Green"
,,"56.5666666666667","56.5666666666667","0","Comment","Green"
,,"57.5666666666667","57.5666666666667","0","Comment","Green"
,,"58.4","58.4","0","Comment","Green"
,,"59.2","59.2","0","Comment","Green"
,,"59.8333333333333","59.8333333333333","0","Comment","Green"
,,"60.3666666666667","60.3666666666667","0","Comment","Green"
,,"60.9333333333333","60.9333333333333","0","Comment","Green"
,,"62.6","62.6","0","Comment","Green"
,,"64.6333333333333","64.6333333333333","0","Comment","Green"
,,"65.7666666666667","65.7666666666667","0","Comment","Green"
,,"67.3666666666667","67.3666666666667","0","Comment","Green"
,,"68.5666666666667","68.5666666666667","0","Comment","Green"
,,"69.3","69.3","0","Comment","Green"
,,"70","70","0","Comment","Green"
,,"72.3","72.3","0","Comment","Green"
,,"73.1333333333333","73.1333333333333","0","Comment","Green"
,,"73.7","73.7","0","Comment","Green"
,,"74.7666666666667","74.7666666666667","0","Comment","Green"
,,"76.2","76.2","0","Comment","Green"
,,"77.4333333333333","77.4333333333333","0","Comment","Green"
,,"77.8666666666667","77.8666666666667","0","Comment","Green"
,,"78.3666666666667","78.3666666666667","0","Comment","Green"
,,"79.1","79.1","0","Comment","Green"
,,"79.7","79.7","0","Comment","Green"
,,"80.9333333333333","80.9333333333333","0","Comment","Green"
,,"81.6333333333333","81.6333333333333","0","Comment","Green"
,,"82.1666666666667","82.1666666666667","0","Comment","Green"
,,"83.0333333333333","83.0333333333333","0","Comment","Green"
,,"83.9333333333333","83.9333333333333","0","Comment","Green"
,,"84.5333333333333","84.5333333333333","0","Comment","Green"
,,"85.2333333333333","85.2333333333333","0","Comment","Green"
,,"85.9333333333333","85.9333333333333","0","Comment","Green"
,,"86.8666666666667","86.8666666666667","0","Comment","Green"
,,"87.6666666666667","87.6666666666667","0","Comment","Green"
,,"88.6","88.6","0","Comment","Green"
,,"89.6333333333333","89.6333333333333","0","Comment","Green"
,,"90.7333333333333","90.7333333333333","0","Comment","Green"
,,"91.7333333333333","91.7333333333333","0","Comment","Green"
,,"92.8","92.8","0","Comment","Green"
,,"93.2333333333333","93.2333333333333","0","Comment","Green"
,,"94.2","94.2","0","Comment","Green"
,,"95.9","95.9","0","Comment","Green"
,,"96.8","96.8","0","Comment","Green"
,,"98.2666666666667","98.2666666666667","0","Comment","Green"
,,"99.1666666666667","99.1666666666667","0","Comment","Green"
,,"100.433333333333","100.433333333333","0","Comment","Green"
,,"102.266666666667","102.266666666667","0","Comment","Green"
,,"102.833333333333","102.833333333333","0","Comment","Green"
,,"103.733333333333","103.733333333333","0","Comment","Green"
,,"104.466666666667","104.466666666667","0","Comment","Green"
,,"105.733333333333","105.733333333333","0","Comment","Green"
,,"107.3","107.3","0","Comment","Green"
,,"109.366666666667","109.366666666667","0","Comment","Green"
,,"110.7","110.7","0","Comment","Green"
,,"112.433333333333","112.433333333333","0","Comment","Green"
,,"114.166666666667","114.166666666667","0","Comment","Green"
,,"116.4","116.4","0","Comment","Green"
,,"117.8","117.8","0","Comment","Green"
,,"118.5","118.5","0","Comment","Green"
,,"119.466666666667","119.466666666667","0","Comment","Green"
,,"120.866666666667","120.866666666667","0","Comment","Green"
,,"123.733333333333","123.733333333333","0","Comment","Green"
,,"126.533333333333","126.533333333333","0","Comment","Green"
,,"127.7","127.7","0","Comment","Green"
,,"128.6","128.6","0","Comment","Green"
,,"129.2","129.2","0","Comment","Green"
,,"129.833333333333","129.833333333333","0","Comment","Green"
,,"130.433333333333","130.433333333333","0","Comment","Green"
,,"131.033333333333","131.033333333333","0","Comment","Green"
,,"131.633333333333","131.633333333333","0","Comment","Green"
,,"132.233333333333","132.233333333333","0","Comment","Green"
,,"132.9","132.9","0","Comment","Green"
,,"133.933333333333","133.933333333333","0","Comment","Green"
,,"134.7","134.7","0","Comment","Green"
,,"135.266666666667","135.266666666667","0","Comment","Green"
,,"135.933333333333","135.933333333333","0","Comment","Green"
,,"136.8","136.8","0","Comment","Green"
,,"137.566666666667","137.566666666667","0","Comment","Green"
,,"138.533333333333","138.533333333333","0","Comment","Green"
,,"139.366666666667","139.366666666667","0","Comment","Green"
,,"140.133333333333","140.133333333333","0","Comment","Green"
,,"140.9","140.9","0","Comment","Green"
,,"142.066666666667","142.066666666667","0","Comment","Green"
,,"143.233333333333","143.233333333333","0","Comment","Green"
,,"144.466666666667","144.466666666667","0","Comment","Green"
,,"145.633333333333","145.633333333333","0","Comment","Green"
,,"146.9","146.9","0","Comment","Green"
,,"148.133333333333","148.133333333333","0","Comment","Green"
,,"149.266666666667","149.266666666667","0","Comment","Green"
,,"150.8","150.8","0","Comment","Green"
,,"151.566666666667","151.566666666667","0","Comment","Green"
,,"152.666666666667","152.666666666667","0","Comment","Green"
,,"153.966666666667","153.966666666667","0","Comment","Green"
,,"155.533333333333","155.533333333333","0","Comment","Green"
,,"157.2","157.2","0","Comment","Green"
,,"157.8","157.8","0","Comment","Green"
,,"158.766666666667","158.766666666667","0","Comment","Green"
,,"159.666666666667","159.666666666667","0","Comment","Green"
,,"160.866666666667","160.866666666667","0","Comment","Green"
,,"161.966666666667","161.966666666667","0","Comment","Green"
,,"163.4","163.4","0","Comment","Green"
,,"164.3","164.3","0","Comment","Green"
,,"165.533333333333","165.533333333333","0","Comment","Green"
,,"166.4","166.4","0","Comment","Green"
,,"167.233333333333","167.233333333333","0","Comment","Green"
,,"168.4","168.4","0","Comment","Green"
,,"170","170","0","Comment","Green"
,,"171.666666666667","171.666666666667","0","Comment","Green"
,,"173.6","173.6","0","Comment","Green"
,,"174.6","174.6","0","Comment","Green"
,,"176.033333333333","176.033333333333","0","Comment","Green"
,,"177.233333333333","177.233333333333","0","Comment","Green"
,,"178.233333333333","178.233333333333","0","Comment","Green"
,,"180.066666666667","180.066666666667","0","Comment","Green"
,,"181.666666666667","181.666666666667","0","Comment","Green"
,,"183.033333333333","183.033333333333","0","Comment","Green"
,,"184.5","184.5","0","Comment","Green"
